Año	Mes	Dia	Hora	Min	Seg	Lat	Lon	Profundidad	Magnitud
2003	1	2	6	8	4,6	-30,644	-71,740	9,1	4,1
2003	1	2	7	43	36,9	-33,282	-70,201	81,8	2,6
2003	1	3	6	28	15,3	-29,940	-71,936	34,3	4
2003	1	3	8	29	48,6	-30,579	-71,527	41,5	4,1
2003	1	3	13	1	50,7	-30,015	-69,879	136,2	3,4
2003	1	3	19	44	2,7	-30,958	-71,499	73,9	3,2
2003	1	4	8	48	40,7	-31,367	-72,030	45,6	3,7
2003	1	5	11	21	38,9	-30,843	-71,383	60,6	3,4
2003	1	6	8	18	46,3	-33,994	-72,179	0,4	3,3
2003	1	6	9	31	47,9	-33,223	-70,446	97,9	2,5
2003	1	6	10	36	36,3	-33,015	-70,890	72,3	2,2
2003	1	7	0	45	34,4	-32,089	-71,912	45,9	3,2
2003	1	7	0	54	51,9	-33,778	-70,369	112,4	6
2003	1	7	2	28	0,8	-33,786	-70,187	105,3	2,4
2003	1	7	4	3	33,5	-32,470	-69,923	118	3,1
2003	1	7	15	21	2,9	-32,222	-71,678	13	2,6
2003	1	7	22	11	19,4	-31,562	-69,757	158,4	3,1
2003	1	7	23	10	7,7	-31,979	-71,610	11,9	3,3
2003	1	8	0	18	12,4	-29,054	-71,452	34,3	3,8
2003	1	8	1	35	14,5	-31,158	-71,421	58,5	3,1
2003	1	8	16	37	32,6	-31,936	-71,380	36,5	3,2
2003	1	8	17	20	4,6	-31,610	-69,773	137,8	3
2003	1	9	9	42	28,7	-30,740	-71,266	56,8	2,7
2003	1	9	12	15	36,4	-33,775	-70,357	106,5	3,5
2003	1	9	14	43	20,6	-30,655	-70,358	0	3,8
2003	1	9	18	57	21,1	-31,794	-70,481	122,7	2,9
2003	1	11	6	24	19,5	-33,392	-70,901	73,4	2,3
2003	1	11	10	31	42	-30,842	-71,643	33,6	3,1
2003	1	11	21	45	27	-31,413	-69,509	0,1	3,6
2003	1	12	20	37	24,3	-30,677	-71,700	11,3	2,9
2003	1	13	1	9	13,3	-33,811	-71,969	9,6	3,1
2003	1	13	9	45	56,2	-28,190	-69,011	140,6	3,4
2003	1	13	23	9	47,4	-28,814	-70,447	111,7	4,4
2003	1	14	16	41	13,1	-32,576	-71,788	25,5	3,8
2003	1	15	1	52	55	-32,753	-71,773	32,6	3
2003	1	15	10	16	57,5	-29,013	-69,485	153,5	3,6
2003	1	15	11	21	51,4	-28,656	-72,115	48,2	3,8
2003	1	17	4	42	45,5	-31,562	-71,687	21,5	2,8
2003	1	17	17	43	29,5	-30,911	-71,095	82,4	2,9
2003	1	19	6	53	30,6	-32,080	-70,415	49,1	3,9
2003	1	20	15	20	13,8	-32,713	-71,861	28,4	3,4
2003	1	21	0	57	20,5	-32,775	-69,292	0	4
2003	1	21	2	32	45,7	-33,811	-71,961	40,5	3,5
2003	1	21	13	26	48	-30,124	-71,233	59,1	2,6
2003	1	21	18	36	24,9	-32,215	-71,470	45,1	3,3
2003	1	22	15	5	49,6	-29,853	-70,693	62,2	4,8
2003	1	22	17	5	0,4	-30,257	-70,732	11,9	3,7
2003	1	24	6	36	57,9	-30,778	-71,369	44,9	3,3
2003	1	24	9	4	17,1	-30,552	-69,451	5,8	3,9
2003	1	26	7	36	32	-29,162	-71,234	46,7	2,8
2003	1	26	22	4	58,1	-30,605	-71,725	8,8	3,9
2003	1	26	23	53	43,5	-32,732	-71,678	27,1	3
2003	1	27	0	28	47,1	-32,682	-71,485	27,2	3,3
2003	1	28	14	52	49,8	-32,722	-71,472	25,8	3,2
2003	1	29	9	47	25,8	-31,794	-70,151	124	3,5
2003	1	29	10	5	52	-33,806	-71,081	69	2,3
2003	1	29	23	26	14,7	-33,804	-70,793	77,6	2,2
2003	1	31	2	58	33,8	-30,559	-70,931	89,2	2,5
2003	1	31	18	17	39,7	-28,452	-69,610	125	3,5
2003	2	1	3	23	6,1	-32,775	-70,699	77,2	4
2003	2	2	21	8	27,8	-33,295	-70,121	0	3,3
2003	2	3	2	42	59,4	-30,228	-70,138	108,1	3
2003	2	3	13	12	52,9	-32,714	-71,519	25	3,1
2003	2	3	22	17	58,6	-33,038	-72,851	20,5	3,8
2003	2	4	5	23	37,1	-33,017	-70,353	100,2	2,4
2003	2	4	7	47	59,9	-33,556	-69,941	7,7	3,1
2003	2	4	13	48	59,7	-32,899	-71,562	46,1	3,5
2003	2	4	18	11	2,8	-32,721	-73,125	23,2	4,3
2003	2	4	18	16	26,5	-33,001	-73,081	15,7	3,7
2003	2	5	23	40	28,7	-32,737	-73,089	21,1	3,9
2003	2	7	3	14	4,3	-28,572	-69,900	111,7	3,4
2003	2	7	17	13	37,9	-29,546	-71,346	55,2	4,5
2003	2	8	6	2	44	-30,840	-71,509	66,8	2,4
2003	2	8	22	36	2,9	-29,546	-71,346	46,6	3,7
2003	2	9	1	51	56,5	-33,632	-70,993	67,1	2,4
2003	2	9	7	42	36,8	-30,739	-71,746	8,7	3,7
2003	2	9	22	26	52,7	-31,124	-71,670	9,7	4,1
2003	2	10	7	47	14,2	-32,463	-71,704	27,4	3,4
2003	2	10	17	46	25,2	-33,143	-70,247	3,6	3,2
2003	2	11	5	23	9,7	-32,270	-71,654	40,2	3,7
2003	2	11	9	28	4,1	-32,153	-70,284	121,7	2,9
2003	2	12	5	52	42	-30,355	-71,351	49,1	2,2
2003	2	12	20	51	27,9	-32,224	-70,800	107,5	2,7
2003	2	14	17	28	41,6	-33,434	-73,004	33,1	3,7
2003	2	16	4	47	20,5	-29,533	-71,381	50	4,2
2003	2	16	14	2	31,1	-32,648	-71,704	29,8	3,4
2003	2	16	14	9	41,8	-33,748	-71,357	54,4	3,8
2003	2	17	5	45	45,3	-32,426	-70,971	71,7	2,6
2003	2	18	15	7	3,1	-33,240	-70,570	94,8	2,7
2003	2	19	3	59	3,6	-30,367	-71,631	30,3	4,1
2003	2	20	9	51	2	-33,344	-70,194	113,2	2,7
2003	2	20	16	12	58,9	-33,081	-70,122	103,5	3,3
2003	2	21	6	36	15,4	-33,646	-70,300	102,4	3,5
2003	2	22	3	12	58,8	-32,837	-71,690	3	3,3
2003	2	23	11	7	14,7	-30,584	-71,645	34,9	4,5
2003	2	24	13	46	11,8	-32,764	-72,947	25,3	3,6
2003	2	24	14	25	14,5	-32,894	-69,036	10	3,5
2003	2	24	16	52	48	-33,135	-70,272	5,2	3,3
2003	2	24	21	56	41	-32,957	-70,028	97,1	2,5
2003	2	25	19	51	1,7	-29,434	-69,643	130	3,7
2003	2	27	1	9	15,5	-32,584	-71,522	26,9	3,4
2003	2	28	10	57	54,7	-31,177	-69,566	150,2	3,8
2003	2	28	12	51	57,5	-30,576	-69,553	152,3	4,3
2003	3	1	7	3	35,6	-32,574	-71,699	30,6	4
2003	3	1	7	16	59,9	-32,556	-71,671	33	4
2003	3	2	14	13	28,5	-33,545	-72,282	15,1	4,2
2003	3	2	23	19	14	-31,585	-69,875	134,8	3
2003	3	3	1	44	13,5	-32,125	-71,825	33,5	3,6
2003	3	3	2	4	52,4	-28,251	-70,737	64,6	3,6
2003	3	3	3	3	47,8	-32,627	-70,950	64,3	3,5
2003	3	3	6	23	35,6	-29,341	-71,714	44,6	2,6
2003	3	3	6	52	29,4	-32,563	-71,667	32,5	4,1
2003	3	3	16	33	17,8	-31,918	-69,812	136,8	3
2003	3	3	17	0	43,2	-33,081	-70,092	7,9	3,5
2003	3	3	17	13	25,7	-33,166	-70,341	4,1	3,4
2003	3	4	7	9	27	-33,184	-71,378	47,1	3,6
2003	3	4	21	0	25,8	-30,825	-71,632	33,1	3,5
2003	3	5	5	37	53,5	-33,560	-71,906	29,1	3,3
2003	3	5	6	35	37,9	-33,043	-70,408	98	2,6
2003	3	5	10	49	12,9	-30,842	-69,188	129	3,4
2003	3	5	11	3	58,4	-32,998	-71,042	64	2,4
2003	3	5	17	17	45,9	-31,908	-70,058	122,7	3,3
2003	3	6	6	36	51,9	-29,693	-71,037	79,9	3,6
2003	3	6	16	58	11	-33,122	-70,178	6,2	3,5
2003	3	7	2	57	26,4	-32,409	-71,684	24,5	3,9
2003	3	7	4	41	48,7	-32,162	-71,735	25,6	4,1
2003	3	7	21	35	39,2	-31,718	-71,753	27,2	3,9
2003	3	8	6	6	33,5	-33,790	-71,268	60,4	4,3
2003	3	8	10	27	41,1	-28,576	-71,215	36,4	3,1
2003	3	8	16	6	57,8	-31,521	-69,822	150,8	3
2003	3	9	7	49	6,4	-30,434	-71,553	32,9	3,6
2003	3	10	17	1	34,8	-31,790	-69,940	135	3
2003	3	10	21	9	4,3	-30,855	-71,887	1,3	4,1
2003	3	10	21	32	51,6	-30,825	-71,929	2	3,3
2003	3	10	21	38	32,3	-30,831	-71,926	2	4
2003	3	11	4	25	59,1	-33,871	-72,612	30,6	4,2
2003	3	11	7	33	19,8	-30,838	-71,943	36,3	4,1
2003	3	12	18	20	43,6	-32,545	-71,820	19,8	3,3
2003	3	13	8	16	46,1	-30,449	-70,767	79,1	2,9
2003	3	13	9	35	49,2	-29,923	-71,361	45,2	3,3
